
angle:0.10938   ,   distance:3171
angle:0.40625   ,   distance:3161
angle:0.6875   ,   distance:3161
angle:1   ,   distance:0
angle:1.2813   ,   distance:2995
angle:1.5625   ,   distance:3053
angle:1.8281   ,   distance:3112
angle:2.1094   ,   distance:3163
angle:2.4063   ,   distance:3209
angle:2.6875   ,   distance:3158
angle:2.9688   ,   distance:3097
angle:3.25   ,   distance:3094
angle:3.5313   ,   distance:3046
angle:3.8125   ,   distance:0
angle:4.0938   ,   distance:0
angle:4.3438   ,   distance:3316
angle:4.625   ,   distance:3314
angle:4.9063   ,   distance:3311
angle:5.1875   ,   distance:3310
angle:5.4688   ,   distance:3302
angle:5.7969   ,   distance:0
angle:6.0781   ,   distance:3069
angle:6.3594   ,   distance:3077
angle:6.6406   ,   distance:3065
angle:6.9219   ,   distance:3076
angle:7.2031   ,   distance:3081
angle:7.4688   ,   distance:3101
angle:7.7656   ,   distance:0
angle:8.0469   ,   distance:3140
angle:8.3281   ,   distance:3109
angle:8.6094   ,   distance:3109
angle:8.8906   ,   distance:3106
angle:9.1719   ,   distance:3115
angle:9.4531   ,   distance:3101
angle:9.7344   ,   distance:3115
angle:10.016   ,   distance:3129
angle:10.313   ,   distance:3125
angle:10.594   ,   distance:3154
angle:10.875   ,   distance:3108
angle:11.156   ,   distance:3105
angle:11.438   ,   distance:3112
angle:11.719   ,   distance:3115
angle:12   ,   distance:0
angle:12.266   ,   distance:3241
angle:12.563   ,   distance:3235
angle:12.844   ,   distance:3243
angle:13.125   ,   distance:3240
angle:13.406   ,   distance:3241
angle:13.703   ,   distance:0
angle:13.984   ,   distance:0
angle:14.297   ,   distance:2894
angle:14.578   ,   distance:2906
angle:14.828   ,   distance:0
angle:15.094   ,   distance:2997
angle:15.391   ,   distance:0
angle:15.672   ,   distance:0
angle:15.922   ,   distance:3222
angle:16.203   ,   distance:3233
angle:16.5   ,   distance:3225
angle:16.781   ,   distance:3231
angle:17.063   ,   distance:3232
angle:17.359   ,   distance:3231
angle:17.656   ,   distance:3216
angle:17.938   ,   distance:0
angle:18.219   ,   distance:0
angle:18.5   ,   distance:3241
angle:18.781   ,   distance:3241
angle:19.078   ,   distance:3245
angle:19.359   ,   distance:3245
angle:19.641   ,   distance:3240
angle:19.906   ,   distance:0
angle:20.25   ,   distance:3020
angle:20.531   ,   distance:3027
angle:20.828   ,   distance:3023
angle:21.109   ,   distance:3018
angle:21.391   ,   distance:3017
angle:21.688   ,   distance:3019
angle:21.969   ,   distance:3002
angle:22.172   ,   distance:0
angle:22.516   ,   distance:3254
angle:22.797   ,   distance:3247
angle:23.078   ,   distance:3259
angle:23.375   ,   distance:3254
angle:23.656   ,   distance:3259
angle:23.938   ,   distance:3257
angle:24.234   ,   distance:3261
angle:24.516   ,   distance:3273
angle:24.797   ,   distance:3274
angle:25.094   ,   distance:3263
angle:25.375   ,   distance:3280
angle:25.656   ,   distance:3293
angle:25.953   ,   distance:3283
angle:26.188   ,   distance:3278
angle:26.469   ,   distance:3289
angle:26.75   ,   distance:3288
angle:27.047   ,   distance:3289
angle:27.328   ,   distance:3298
angle:27.609   ,   distance:3298
angle:27.906   ,   distance:3305
angle:28.188   ,   distance:3301
angle:28.469   ,   distance:3306
angle:28.766   ,   distance:3325
angle:28.953   ,   distance:0
angle:29.234   ,   distance:0
angle:29.516   ,   distance:0
angle:29.938   ,   distance:2982
angle:30.078   ,   distance:0
angle:30.359   ,   distance:0
angle:30.781   ,   distance:3131
angle:31.063   ,   distance:3138
angle:31.359   ,   distance:3143
angle:31.641   ,   distance:3146
angle:31.922   ,   distance:3150
angle:32.219   ,   distance:3153
angle:32.5   ,   distance:3156
angle:32.781   ,   distance:3117
angle:33.094   ,   distance:3067
angle:33.375   ,   distance:3022
angle:33.469   ,   distance:0
angle:33.938   ,   distance:3176
angle:34.219   ,   distance:3183
angle:34.5   ,   distance:3191
angle:34.797   ,   distance:3187
angle:35.078   ,   distance:3194
angle:35.359   ,   distance:3203
angle:35.656   ,   distance:3209
angle:35.922   ,   distance:3219
angle:36.203   ,   distance:3223
angle:36.5   ,   distance:3223
angle:36.781   ,   distance:3236
angle:37.063   ,   distance:3232
angle:37.359   ,   distance:3244
angle:37.656   ,   distance:3251
angle:37.938   ,   distance:3255
angle:38.219   ,   distance:3263
angle:38.5   ,   distance:3263
angle:38.781   ,   distance:3275
angle:39.063   ,   distance:3281
angle:39.344   ,   distance:3286
angle:39.641   ,   distance:3293
angle:39.922   ,   distance:3297
angle:40.203   ,   distance:3303
angle:40.484   ,   distance:3311
angle:40.766   ,   distance:3313
angle:41.047   ,   distance:3323
angle:41.344   ,   distance:3333
angle:41.625   ,   distance:3346
angle:41.906   ,   distance:3347
angle:42.172   ,   distance:3361
angle:42.453   ,   distance:3369
angle:42.734   ,   distance:3376
angle:43.016   ,   distance:3375
angle:43.313   ,   distance:3387
angle:43.594   ,   distance:3394
angle:43.875   ,   distance:3400
angle:44.156   ,   distance:3411
angle:44.438   ,   distance:3417
angle:44.719   ,   distance:3427
angle:45.016   ,   distance:3445
angle:45.297   ,   distance:3450
angle:45.578   ,   distance:3465
angle:45.609   ,   distance:0
angle:45.891   ,   distance:0
angle:46.172   ,   distance:0
angle:46.453   ,   distance:0
angle:46.734   ,   distance:0
angle:47.016   ,   distance:0
angle:47.297   ,   distance:0
angle:47.578   ,   distance:0
angle:47.859   ,   distance:0
angle:48.141   ,   distance:0
angle:48.422   ,   distance:0
angle:48.719   ,   distance:0
angle:49   ,   distance:0
angle:49.281   ,   distance:0
angle:49.563   ,   distance:0
angle:49.844   ,   distance:0
angle:50.125   ,   distance:0
angle:50.406   ,   distance:0
angle:50.688   ,   distance:0
angle:50.969   ,   distance:0
angle:51.5   ,   distance:3684
angle:51.781   ,   distance:3698
angle:51.813   ,   distance:0
angle:52.344   ,   distance:3812
angle:52.625   ,   distance:3828
angle:52.906   ,   distance:3838
angle:53.172   ,   distance:3850
angle:53.453   ,   distance:3868
angle:53.734   ,   distance:3884
angle:54.016   ,   distance:3892
angle:54.297   ,   distance:3909
angle:54.359   ,   distance:0
angle:54.641   ,   distance:0
angle:54.922   ,   distance:0
angle:55.203   ,   distance:0
angle:55.484   ,   distance:0
angle:55.766   ,   distance:0
angle:56.047   ,   distance:0
angle:56.328   ,   distance:0
angle:56.609   ,   distance:0
angle:56.906   ,   distance:0
angle:57.188   ,   distance:0
angle:57.469   ,   distance:0
angle:57.75   ,   distance:0
angle:58.031   ,   distance:0
angle:58.313   ,   distance:0
angle:58.594   ,   distance:0
angle:58.875   ,   distance:0
angle:59.156   ,   distance:0
angle:59.438   ,   distance:0
angle:59.719   ,   distance:0
angle:60   ,   distance:0
angle:60.281   ,   distance:0
angle:60.563   ,   distance:0
angle:60.859   ,   distance:0
angle:61.141   ,   distance:0
angle:61.422   ,   distance:0
angle:61.891   ,   distance:4383
angle:62.172   ,   distance:4394
angle:62.453   ,   distance:4416
angle:62.734   ,   distance:4395
angle:63.031   ,   distance:4368
angle:63.313   ,   distance:4396
angle:63.594   ,   distance:4421
angle:63.875   ,   distance:4444
angle:64.156   ,   distance:4446
angle:64.438   ,   distance:4415
angle:64.719   ,   distance:4396
angle:65   ,   distance:4376
angle:65.281   ,   distance:4348
angle:65.563   ,   distance:4337
angle:65.859   ,   distance:4314
angle:66.141   ,   distance:4308
angle:66.438   ,   distance:4261
angle:66.719   ,   distance:4252
angle:67   ,   distance:4226
angle:67.281   ,   distance:4205
angle:67.563   ,   distance:4187
angle:67.844   ,   distance:4171
angle:68.125   ,   distance:4152
angle:68.406   ,   distance:4142
angle:68.703   ,   distance:4122
angle:68.984   ,   distance:4104
angle:69.266   ,   distance:4092
angle:69.547   ,   distance:4075
angle:69.828   ,   distance:4053
angle:70.125   ,   distance:4036
angle:70.406   ,   distance:4032
angle:70.688   ,   distance:4013
angle:70.969   ,   distance:4003
angle:71.25   ,   distance:4012
angle:71.563   ,   distance:3992
angle:71.844   ,   distance:3974
angle:72.125   ,   distance:3965
angle:72.406   ,   distance:3944
angle:72.688   ,   distance:3940
angle:72.719   ,   distance:0
angle:73.266   ,   distance:3751
angle:73.547   ,   distance:3772
angle:73.828   ,   distance:3796
angle:74.109   ,   distance:3834
angle:74.391   ,   distance:3862
angle:74.672   ,   distance:3890
angle:74.953   ,   distance:3920
angle:75.234   ,   distance:3950
angle:75.516   ,   distance:3973
angle:75.797   ,   distance:3987
angle:76.078   ,   distance:4028
angle:76.359   ,   distance:4007
angle:76.641   ,   distance:3998
angle:76.922   ,   distance:3999
angle:77.219   ,   distance:3971
angle:77.5   ,   distance:3966
angle:77.781   ,   distance:3947
angle:78.063   ,   distance:3941
angle:78.344   ,   distance:3932
angle:78.625   ,   distance:3917
angle:78.906   ,   distance:3907
angle:79.188   ,   distance:3894
angle:79.469   ,   distance:3883
angle:79.75   ,   distance:3883
angle:80.047   ,   distance:3870
angle:80.328   ,   distance:3862
angle:80.609   ,   distance:0
angle:80.625   ,   distance:3821
angle:81.219   ,   distance:3465
angle:81.5   ,   distance:3468
angle:81.781   ,   distance:3474
angle:82.063   ,   distance:3466
angle:82.344   ,   distance:3473
angle:82.625   ,   distance:3481
angle:82.922   ,   distance:3485
angle:83.172   ,   distance:3503
angle:83.453   ,   distance:3509
angle:83.719   ,   distance:0
angle:83.734   ,   distance:3516
angle:84   ,   distance:0
angle:84.281   ,   distance:0
angle:84.891   ,   distance:3339
angle:85.156   ,   distance:3378
angle:85.438   ,   distance:3415
angle:85.719   ,   distance:3453
angle:86   ,   distance:3460
angle:86.281   ,   distance:3459
angle:86.547   ,   distance:3449
angle:86.828   ,   distance:3437
angle:87.109   ,   distance:3439
angle:87.391   ,   distance:3428
angle:87.672   ,   distance:3425
angle:87.953   ,   distance:3413
angle:88.234   ,   distance:3410
angle:88.516   ,   distance:3405
angle:88.797   ,   distance:3405
angle:89.078   ,   distance:3398
